numero_cta,nivel,tipo_cta,nombre
21020003,4,2,BANCO BHD CAYMAN INTL (US$)
21020004,4,2,BANCREDITO (US$)
21020099,4,2,PRIMA DE PRESTAMOS EN US$
22000000,2,2,Cuentas por Pagar Proveedores
22010000,3,2,CUENTAS POR PAGAR PROVEEDORES RD$
22010001,4,2,CUENTAS POR PAGAR PROVEEDORES RD$
22020000,3,2,CUENTAS POR PAGAR PROVEEDORES US$
22020001,4,2,CUENTAS POR PAGAR PROVEEDORES US$
22030000,3,2,PRIMA EN CONVERSION CAMBIARIA
22030001,4,2,PRIMA EN CONVERSION CAMBIARIA
23000000,2,2,Otras Cuentas por Pagar
23010000,3,2,OTRAS CUENTAS POR PAGAR
23010001,4,2,OTRAS CUENTAS POR PAGAR
23010002,3,2,CUENTAS POR PAGAR CREIXA
24000000,2,2,Provisiones
24010000,3,2,PROVISIONES X PAGAR OCOA
24010001,4,2,BONIFICACIONES
24010002,4,2,REGALIA PASCUAL
24010003,4,2,IMPUESTO SOBRE LA RENTA
24010004,4,2,CUENTAS DUDOSAS
24010005,4,2,PUBLICIDAD LA GARZA
24010006,4,2,PROV. SEGURO SOCIAL
24010007,4,2,FONDO SEGURO MEDICO (FIJOS)
24010008,4,2,PROV. ENERGIA ELECTRICA
24010009,4,2,PROV. PARA DEPRECIACION
24010010,4,2,FONDO SEGURO MEDICO (OBREROS)
24010011,4,2,PROV.GTOS.PERIODOS MUERTOS
24010012,4,2,PROV. MERMA INVENTARIO
24010013,4,2,PROV.RVAS.DEP.REP.CAPITALIZABL
24010014,4,2,PROV.RVAS.DEP.OTROS MUEB.Y EQ.
24010015,4,2,PROV.AMORTIZACION FOMENTO CAFE
25000000,2,2,Retenciones por Pagar
25010000,3,2,RETENCIONES X PAGAR
25010002,4,2,I D S S
25010003,4,2,ITBIS
25010004,4,2,INFOTEP
25010005,4,2,SEGURO MEDICO Y DE VIDA
25010006,4,2,SEGURO PALIC
25010007,4,2,SEGURO DENTAL
25010008,4,2,COMEDOR EMPLEADOS
25010009,4,2,ADOVIME
25010010,4,2,AGROSA
25010011,4,2,RET. SEGURO MEDICO EMPL.FIJOS
25010012,4,2,RET. SEGURO MEDICO OBREROS
25010013,4,2,PRESTAMO BCO.PROGRESO EMPLEADO
25010014,4,2,ARS HUMANO
25010016,4,2,A. F. P.
25010018,4,2,SEGURO FAMILIAR DE SALUD
25020000,3,2,RETENCIONES ISR
25020001,4,2,RETENCIONES ISR-ASALARIADOS
25020002,4,2,RETENCIONES ISR-SERVICIOS Y HONORAR
25020003,4,2,RETENCIONES ISR-ALQUILER
25020004,4,2,RETENCIONES ISR-DIVIDENDOS
25020005,4,2,RETENCIONES ISR-FLETES
25020006,4,2,RETENCIONES ISR-INTERES
25020007,4,2,RETENCIONES ISR-OTRAS RENTAS
25020008,4,2,RETENCIONES ISR-RETRIBUCIONES COMP
26000000,2,2,Acumulaciones por Pagar
26010000,3,2,ACUMULACIONES X PAGAR SD
26010001,4,2,SUELDOS X PAGAR
26010003,4,2,DIFERECIAS FAVOR.O DESFAV.
26010004,4,2,IMPUESTO ADUANALES
26010005,4,2,SEGUROS DE IMPORTACION
26010006,4,2,OTROS GASTOS DE IMPORTACION
26010007,4,2,CAJA CHICA
26010008,4,2,GASTOS DE AUDITORIA
26010009,4,2,RECARGO CAMBIARIO POR PAGAR
27000000,2,2,Prestamos y Documentos por Pagar Corto Plazo
27010000,3,2,PRESTAMOS BANCARIOS RD$  SD
27010001,4,2,BANCO DE RESERVAS
27010002,4,2,BANCO DEL PROGRESO
27010003,4,2,BANCO POPULAR
27010004,4,2,BANCO NOVA SCOTIA
27010005,4,2,BANCO BHD, S.A.
27010006,4,2,COTISA
27010007,4,2,BANCO METROPOLITANO, S.A.
27020000,3,2,PRESTAMOS BANCARIOS US$ SD
27020001,4,2,BANCO NOVA SCOTIA N.Y. (US$)
27020002,4,2,BANCO BHD, S.A.(US$)
27020003,4,2,BANCO POPULAR DOMINICANO US$
27020004,4,2,BANCO POPULAR US$
27020005,4,2,BANCREDITO (US$)
27030000,3,2,PRIMA EN CAMBIO US$
27030099,4,2,PRIMA EN CAMBIO US$
28000000,2,2,Depositos de Terceros
28010000,3,2,DEPOSITOS DE TERCEROS
28010001,4,2,DEPOSITOS DE TERCEROS
28010002,4,2,GEORGINA GUERRERO DE BURGOS
28010003,4,2,JOSE ALBERTO BURGOS
28010004,4,2,NELSON BURGOS
29000000,2,2,Cuentas x Pagar Accionistas
29010000,3,2,ACREENCIAS DE ACCIONISTAS SD
29010001,4,2,ACREENCIAS DE ACCIONISTAS SD
30000000,1,3,Capital
31000000,2,3,Capital Suscrito y Pagado
31010000,3,3,CAPITAL SUSCRITO Y PAGADO
31010001,4,3,CAPITAL SUSCRITO Y PAGADO
31010002,4,3,ACCIONES NO EMITIDAS
32000000,2,3,Reserva Legal
32010000,3,3,RESERVA LEGAL
32010001,4,3,RESERVA LEGAL
32020000,3,3,OTRAS RESERVAS
32020001,4,3,RESERVA GENERAL
32020002,4,3,RESERVA PARA AUMENTO CAPITAL
32020003,4,3,RESERVA PARA CONTINGENCIAS
33000000,2,3,Resultados Acumulados
33010000,3,3,SUPERAVIT
33010001,4,3,UTILIDADES ANOS ANTERIORES
33010002,4,3,UTILIDADES  DEL EJERCICIO
33010003,4,3,GAN.RET./DIV.EN ACC.OTRAS CIAS
33010004,4,3,APORTES PARA FUTURA CAPITALIZACION
33010005,4,3,SUPERAVIT POR REVALUACION
40000000,1,4,Ingresos
41000000,2,4,Ingresos por Ventas
41010000,3,4,INGRESOS X VENTAS
41010001,4,4,VENTAS FARMACEUTICOS
41010002,4,4,VENTAS CODETEL
41010003,4,4,VENTAS COSMETICOS
41010004,4,4,VENTAS ARROZ
41010005,4,4,VENTAS AFRECHO
41010006,4,4,VENTAS SUB-PRODUCTOS
41010007,4,4,VENTAS ACEITE OLIVA MAEVA
41010008,4,4,VENTA CASCARA DE ARROZ
41010009,4,4,OTROS INGRESOS ARROZ
41010010,4,4,VENTAS CAFE EXPORTACION
41010011,4,4,VENTAS CAFE LOCAL
